h_cty,w_cty,total jobs,h_lat,h_lon,h_cityname,UZA Population,Modes,Year,Trip_Count,ctyname,w_lat,w_lon
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5039575,-77.0153457
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5093083,-77.0351864
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5068025,-77.0267081
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4987753,-77.0159095
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5180155,-77.023112
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5230124,-77.052976
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4981667,-77.0708432
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4925289,-77.0532116
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.486338,-77.0843831
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.493082,-77.0382045
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4862995,-77.0712683
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4859196,-77.0584975
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5204365,-77.0202343
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4846178,-77.0369378
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5233546,-77.0114268
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5157987,-77.0430317
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4906668,-77.0261067
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5215356,-77.0242431
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.4960255,-77.0446451
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.50185,-77.14292
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5046156,-77.1403578
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5050967,-77.1314879
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.506037,-77.1418819
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.5913199,-77.1316057
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6598845,-77.1278114
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.6273643,-77.1205271
36055,36123,289,43.077514,-77.8613799,Monroe,423566,DR,2019,648153.04,"Yates County, NY",42.596252,-77.1357885
